,decade,variable,value
344,81-90,shannon,2.178551895
345,81-90,shannon,2.857740648
346,81-90,shannon,2.141222047
347,81-90,shannon,2.561708663
348,81-90,shannon,2.551491178
349,81-90,shannon,2.016099397
350,81-90,shannon,1.984482786
351,81-90,shannon,2.797487678
352,81-90,shannon,2.652604272
353,81-90,shannon,2.492285641
354,81-90,shannon,3.154656037
355,81-90,shannon,2.991051191
356,81-90,shannon,2.376679509
357,81-90,shannon,2.991079898
358,81-90,shannon,2.620951844
359,81-90,shannon,2.781317133
360,81-90,shannon,2.617679477
361,81-90,shannon,3.041325592
362,81-90,shannon,2.821595873
363,81-90,shannon,2.233061658
364,81-90,shannon,3.009696273
365,81-90,shannon,1.790116199
366,81-90,shannon,3.194458741
367,81-90,shannon,2.217129575
368,81-90,shannon,0.462926288
369,81-90,shannon,2.225475505
370,81-90,shannon,3.02753375
371,81-90,shannon,2.056043355
372,81-90,shannon,2.862062322
373,81-90,shannon,2.424088651
374,81-90,shannon,2.906200252
375,81-90,shannon,2.874406927
376,81-90,shannon,1.197047059
377,81-90,shannon,2.670232342
378,81-90,shannon,2.260185724
379,81-90,shannon,2.384256531
380,81-90,shannon,3.087365886
381,81-90,shannon,3.000279805
382,81-90,shannon,2.90721962
383,81-90,shannon,2.590539021
384,81-90,shannon,2.379458617
385,81-90,shannon,2.507832104
386,81-90,shannon,2.916455991
387,81-90,shannon,1.987541005
388,81-90,shannon,1.35268324
389,81-90,shannon,2.486999675
390,81-90,shannon,2.547552743
391,81-90,shannon,2.213985184
392,81-90,shannon,3.239004288
393,81-90,shannon,2.975002906
394,81-90,shannon,2.919865486
395,81-90,shannon,2.049005604
396,81-90,shannon,2.912371962
397,81-90,shannon,2.172525193
398,81-90,shannon,1.144810903
399,81-90,shannon,1.955203108
400,81-90,shannon,2.28457909
401,81-90,shannon,2.909006821
402,81-90,shannon,2.435591175
403,81-90,shannon,1.737949902
404,81-90,shannon,2.128033746
405,81-90,shannon,2.133105177
406,81-90,shannon,2.317734782
407,81-90,shannon,2.268793842
408,81-90,shannon,2.290205677
409,81-90,shannon,2.947286791
410,81-90,shannon,2.84022253
411,81-90,shannon,2.678994593
412,91-100,shannon,1.506817318
413,91-100,shannon,2.401091068
414,91-100,shannon,1.586760569
415,91-100,shannon,2.475790136
416,91-100,shannon,3.23450754
417,91-100,shannon,2.78696811
418,91-100,shannon,1.560519511
419,91-100,shannon,2.664339001
420,91-100,shannon,2.176484931
421,91-100,shannon,2.70023362
422,91-100,shannon,2.843124637
423,91-100,shannon,1.909643198
424,91-100,shannon,2.006452752
425,91-100,shannon,2.272449067
426,91-100,shannon,3.01841998
427,91-100,shannon,2.447433176
428,91-100,shannon,2.347900333
429,91-100,shannon,2.840705467
430,91-100,shannon,2.063471069
431,91-100,shannon,2.446621011
432,91-100,shannon,1.548247059
433,91-100,shannon,3.227348742
434,91-100,shannon,1.92088717
