Index,MDS1,MDS2,decade,decade10,samID,age
MHS279,0.021095585,0.023978404,41-60,41-60,MHS279,60
MHS286,-0.014824742,0.078030512,41-60,41-60,MHS286,60
MHS288,0.001195781,0.006341768,41-60,41-60,MHS288,60
CON079,-0.105116886,-0.082883445,41-60,41-60,CON079,60
CON050,0.031824145,-0.002103173,41-60,41-60,CON050,60
CON083,0.001802798,0.015829493,41-60,41-60,CON083,60
CON053,0.011475032,0.023890245,41-60,41-60,CON053,60
MHS246,-0.026791936,0.100142099,61-80,61-70,MHS246,61
MHS253,-0.028060861,0.073930103,61-80,61-70,MHS253,61
MHS276,0.037869101,-0.004040555,61-80,61-70,MHS276,61
MHS277,0.004652304,0.028958707,61-80,61-70,MHS277,61
WFC023,-0.033286084,0.060436337,61-80,61-70,WFC023,61
CON003,-0.06616426,-0.082121302,61-80,61-70,CON003,61
CON051,0.01526009,0.014202093,61-80,61-70,CON051,61
MBH208,-0.056718344,0.077835481,61-80,61-70,MBH208,62
MHS240,-0.021416959,0.070364638,61-80,61-70,MHS240,62
MHS251,-0.019742388,0.086750464,61-80,61-70,MHS251,62
MHS269,-0.007665697,0.057324545,61-80,61-70,MHS269,62
CON098,-0.001110277,0.05267733,61-80,61-70,CON098,62
MHS239,-0.041059484,0.094222639,61-80,61-70,MHS239,63
MHS243,-0.022683359,0.084252,61-80,61-70,MHS243,63
MHS247,-0.078937897,0.047740835,61-80,61-70,MHS247,63
MBE038,-0.030627222,0.098790784,61-80,61-70,MBE038,64
MBM139,-0.006364148,0.059808953,61-80,61-70,MBM139,64
CON071,-0.123777357,-0.064369962,61-80,61-70,CON071,64
MHS232,-0.001957304,0.076199912,61-80,61-70,MHS232,65
MHS244,-0.009366214,0.055282154,61-80,61-70,MHS244,67
MHS248,-0.041132967,0.101637981,61-80,61-70,MHS248,67
MHS282,0.038584699,-0.007182426,61-80,61-70,MHS282,67
CON086,0.029738788,0.032520502,61-80,61-70,CON086,67
CON046,-0.102310639,-0.066191501,61-80,61-70,CON046,67
MBH207,0.008879612,0.0545281,61-80,61-70,MBH207,68
NOM002,0.002925116,0.055423897,61-80,61-70,NOM002,68
MBE036,0.028315748,-0.012065341,61-80,61-70,MBE036,69
CON084,-0.081534852,0.010013224,61-80,61-70,CON084,69
CON092,0.031282126,0.034436207,61-80,61-70,CON092,70
MBM135,0.007210145,-0.036499867,61-80,71-80,MBM135,73
MHS283,-0.118710241,-0.022087339,61-80,71-80,MHS283,74
MBS1228,0.007044759,0.038166381,61-80,71-80,MBS1228,77
MBS1222,0.058245646,-0.075455151,61-80,71-80,MBS1222,78
MBS1226,0.057692628,-0.023917218,61-80,71-80,MBS1226,78
MBS1584,0.028584166,-0.044284552,61-80,71-80,MBS1584,79
MBS1598,-0.000343923,-0.0027838,61-80,71-80,MBS1598,79
MBS1216,0.040882974,-0.016729084,61-80,71-80,MBS1216,79
MBS1223,0.037268139,-0.018060948,61-80,71-80,MBS1223,79
MBS1217,0.014629178,0.014731101,61-80,71-80,MBS1217,79
MBS1227,0.05324723,-0.014338375,61-80,71-80,MBS1227,79
MBS1573,0.043087148,-0.025470561,61-80,71-80,MBS1573,80
MBS1576,0.032140208,-0.011928474,61-80,71-80,MBS1576,80
MBS1585,0.012394216,-0.003978533,61-80,71-80,MBS1585,80
MBS1603,0.000528375,-0.021295017,61-80,71-80,MBS1603,80
MBS1609,0.035806596,-0.072852455,61-80,71-80,MBS1609,80
MBS1612,0.037531287,-0.03444697,61-80,71-80,MBS1612,80
MBS1230,0.028647369,0.01615152,61-80,71-80,MBS1230,80
MBS1215,0.028409221,-0.002713286,61-80,71-80,MBS1215,80
MBS1218,0.040913023,-0.006045672,61-80,71-80,MBS1218,80
MBS1220,0.047363062,-0.017776671,61-80,71-80,MBS1220,80
MBS1231,-0.067693537,-0.109984385,61-80,71-80,MBS1231,80
MBS1577,-0.073195872,-0.106874035,81-100,81-90,MBS1577,81
MBS1579,0.014736228,0.029641627,81-100,81-90,MBS1579,81
MBS1588,0.037963059,-0.061678826,81-100,81-90,MBS1588,81
MBS1591,0.028348589,-0.027129875,81-100,81-90,MBS1591,81
MBS1592,0.026754173,-0.009830529,81-100,81-90,MBS1592,81
MBS1596,0.034107499,0.010837748,81-100,81-90,MBS1596,81
MBS1613,0.058758455,-0.017831928,81-100,81-90,MBS1613,81
MBS1614,-0.034223689,-0.003352785,81-100,81-90,MBS1614,81
MBS1615,0.013055197,0.011246016,81-100,81-90,MBS1615,81
MBS1571,0.0210826,-0.05307978,81-100,81-90,MBS1571,82
MBS1572,0.030324312,-0.00250153,81-100,81-90,MBS1572,82
MBS1578,0.029863553,-0.017838746,81-100,81-90,MBS1578,82
MBS1582,0.03174773,0.003944619,81-100,81-90,MBS1582,82
MBS1586,0.060141081,-0.023043726,81-100,81-90,MBS1586,82
MBS1595,-0.066331405,-0.090681898,81-100,81-90,MBS1595,82
MBS1601,0.054373132,-0.073494766,81-100,81-90,MBS1601,82
MBS1602,0.027468252,-0.022309221,81-100,81-90,MBS1602,82
MBS1611,-0.026513031,-0.021885555,81-100,81-90,MBS1611,82
MBS1570,-0.104215932,-0.052349581,81-100,81-90,MBS1570,83
MBS1575,0.015827929,0.010975253,81-100,81-90,MBS1575,83
MBS1580,0.017559107,0.002688635,81-100,81-90,MBS1580,83
MBS1583,0.033550668,-0.02812778,81-100,81-90,MBS1583,83
MBS1587,0.030930112,-0.006321745,81-100,81-90,MBS1587,83
MBS1589,-0.020162043,0.025389091,81-100,81-90,MBS1589,83
MBS1593,-0.089612154,-0.081042875,81-100,81-90,MBS1593,83
MBS1594,-0.004120294,0.001124429,81-100,81-90,MBS1594,83
MBS1599,0.067533499,-0.044873101,81-100,81-90,MBS1599,83
MBS1600,0.012638145,-0.014500183,81-100,81-90,MBS1600,83
MBS1605,0.025995508,-0.013933489,81-100,81-90,MBS1605,83
MBS1606,0.011795951,-0.03101103,81-100,81-90,MBS1606,83
MBS1610,0.016140501,-0.005851548,81-100,81-90,MBS1610,83
MBS1604,0.038834954,-0.058811869,81-100,81-90,MBS1604,84
MBS1608,0.017914234,-0.011850371,81-100,81-90,MBS1608,84
MBS1616,0.007351113,-0.070087243,81-100,81-90,MBS1616,84
MBS1235,-0.085380196,-0.004966463,81-100,81-90,MBS1235,84
MBS1537,0.055296695,-0.020818568,81-100,81-90,MBS1537,85
MBS1538,0.033470171,-0.016261728,81-100,81-90,MBS1538,85
MBS1539,0.027149565,-0.007023806,81-100,81-90,MBS1539,85
MBS1544,-0.002762444,-0.001936356,81-100,81-90,MBS1544,85
MBS1545,-0.102423365,-0.115302593,81-100,81-90,MBS1545,85
MBS1546,0.032890916,-0.005307164,81-100,81-90,MBS1546,85
MBS1553,0.02029191,-0.014727496,81-100,81-90,MBS1553,85
MBS1562,0.036153705,-0.045756706,81-100,81-90,MBS1562,85
MBS1563,0.027955718,0.002596026,81-100,81-90,MBS1563,85
MBS1564,0.05470169,-0.083991725,81-100,81-90,MBS1564,85
MBS1565,0.043727869,-0.021576535,81-100,81-90,MBS1565,85
MBS1574,-0.012011296,-0.041611532,81-100,81-90,MBS1574,85
MBS1443,-0.016182251,-0.003549098,81-100,81-90,MBS1443,85
MBS1454,0.007505831,-0.042527053,81-100,81-90,MBS1454,85
MBS1455,0.060836056,-0.018803034,81-100,81-90,MBS1455,85
MBS1464,0.037423321,-0.029913298,81-100,81-90,MBS1464,85
MBS1465,-0.025910744,-0.007422602,81-100,81-90,MBS1465,85
MBS1486,0.059857175,-0.007511955,81-100,81-90,MBS1486,85
MBS1492,0.030243336,0.015561006,81-100,81-90,MBS1492,85
MBS1494,0.041756339,-0.064540798,81-100,81-90,MBS1494,85
MBS1518,0.053674635,-0.042466604,81-100,81-90,MBS1518,85
MBS1519,0.046306401,-0.024087068,81-100,81-90,MBS1519,85
MBS1263,0.002256614,-0.015562858,81-100,81-90,MBS1263,85
MBS1239,0.040586271,-0.063791325,81-100,81-90,MBS1239,85
MBS1259,0.059072486,-0.073797501,81-100,81-90,MBS1259,85
MBS1530,0.058323362,-0.061481394,81-100,81-90,MBS1530,86
MBS1534,0.024247155,-0.02641559,81-100,81-90,MBS1534,86
MBS1535,0.007519583,0.054741973,81-100,81-90,MBS1535,86
MBS1552,-0.004946281,0.027434413,81-100,81-90,MBS1552,86
MBS1435,0.020471162,-0.038576323,81-100,81-90,MBS1435,86
MBS1438,0.011963681,0.017689923,81-100,81-90,MBS1438,86
MBS1448,0.04471793,-0.033111723,81-100,81-90,MBS1448,86
MBS1452,-0.095557792,-0.070489742,81-100,81-90,MBS1452,86
MBS1457,-0.018461719,-0.012122792,81-100,81-90,MBS1457,86
MBS1469,0.037923741,-0.027269558,81-100,81-90,MBS1469,86
MBS1471,0.046082778,-0.071123277,81-100,81-90,MBS1471,86
MBS1478,0.036081163,-0.000816753,81-100,81-90,MBS1478,86
MBS1481,0.044117247,-0.031149429,81-100,81-90,MBS1481,86
MBS1503,0.030026312,-0.022252111,81-100,81-90,MBS1503,86
MBS1505,-0.105950433,-0.094648312,81-100,81-90,MBS1505,86
MBS1509,0.023815103,-0.007716921,81-100,81-90,MBS1509,86
MBS1513,-0.07292955,-0.064207638,81-100,81-90,MBS1513,86
MBS1525,0.002013867,0.00865705,81-100,81-90,MBS1525,86
MBS1526,0.039681922,-0.047858641,81-100,81-90,MBS1526,86
MBS1247,-0.06857936,-0.00587055,81-100,81-90,MBS1247,86
MBS1255,0.017974029,0.010194322,81-100,81-90,MBS1255,86
MBS1258,0.035557531,-0.006989293,81-100,81-90,MBS1258,86
MBS1233,0.055816591,-0.001632033,81-100,81-90,MBS1233,86
MBS1257,0.001616895,0.014868646,81-100,81-90,MBS1257,86
MBS1529,0.044875561,-0.014323717,81-100,81-90,MBS1529,87
MBS1532,0.039795694,-0.008173391,81-100,81-90,MBS1532,87
