org_list	MBE035	MBE036	MBE037	MBE038	MBM135	MBM137	MBS1533	MBS1558	MBS1559	MBS1563	MBS1567	MBS1579	MBS1587	MBS1592	MBS1594	MBS1605	MHS232	MHS236	MHS238	MHS239	MHS243	MHS246	MHS253	MHS266	MHS267	MHS276	MHS279	MHS283	MHS287	MHS289
Coprococcus catus	0.44565655695687106	0	0	0.5726569556136588	0	0.81928360568284	0	0	0	0	0	0	0	0	0.3669989985235277	0	0	0.7713716202241084	0	0.9113046538510037	1.6583233717937726	0.5179792972970801	0.4363422792857643	0.26402986937137485	0	0	0	0.11880665228289328	0	0.10535655380814143
Coriobacteriaceae bacterium phI	0.4276628929505373	0	0	0.24140143691812316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19206226527527234	0	0	0	0	0
Roseburia intestinalis	0.4192624801475804	0	0	0	0.3622932320502237	0.27380053037206387	0	0	0	0.19639584757288317	0.5404347696996185	0.30615841643092007	0.19993394703629874	0	0	0	0	0	0	0	2.15847623222492	2.552519953565533	0	0	0	0	1.0625233809619818	0.7857899479786188	0	0
Bacteroidales bacterium ph8	0.40159229774136046	0	0	0.15662619581202636	0	0.22622731909986027	0.33185189063942033	1.1964357051607453	0	5.919231537936081	0	0	0	0	0	0	0	0.5853546762268986	0	0.3216011618510961	0	0.37177700208473086	0	0	0	0	0	0	0	0
Ruminococcus callidus	0.37433897293176727	0	0	0	0	0.22225609641232613	0	0	0	0	0	0.4352158708376718	0	0	0	0	0	0	0	0.1263780662493528	0.12292526338094922	0	0	0	0	0	0	0	0	0
Bacteroides cellulosilyticus	0.3317202721167656	0	0	0	0	0.11371952557533598	2.942434415070134	0	0	0	0.12022272008768234	1.2176893239146733	11.792824242419181	6.122925727544195	0.8857619904832932	0	0	0	0	0	0.5225258851751263	0	0	0	0	0	0	0	0.28480914147301933	0.12492117548958004
Ruminococcus torques	0.29919015370531493	0	0	1.1545830478799375	1.2249875200124072	2.1418738652103886	0.33727230182158546	0.21374126957867504	0	0.6759365398887175	2.044009176406474	0	0.4808939766400551	0	0.7167824334087939	0.7257889843112106	0	0.10897204524347363	1.654656895544858	1.220539659075198	0.5322313093749544	0.8553020047960861	1.164462852386727	0.7550195701707726	0.36778614699917683	0.11899988815686141	0.1050020031491555	0.19019982607644265	0.47764950933594585	0.34703598012104486
Bacteroides plebeius	0.2446531776861179	0	0.32538345534958907	0.2831024547561627	0	0	0.5228037721152777	0	0	0	0	7.09497126398966	0	0	0	0.5363269308958202	0	0	0	0.3598348854549266	0	0	0.2598327990201493	0	0	0	0	0	0	0
Escherichia unclassified	0.21672256327628633	0.5944518830751261	0	0.13100985628294495	24.898009421784806	0	1.4847119859404763	0.1646565723520261	3.889678360891839	0.3144234133531586	0	0	0.3442877603732964	0.588187061366255	0.9238142527671591	1.5087362664543817	0.14036068387365622	0.2799835345551288	0.10259095623425032	0	0.2121545071181199	0	0	0	0	0	1.3914499201655106	2.25472825606756	0	0.6404037764288647
Escherichia coli	0.21592396807600522	0.9400152243937343	0	0.38176120664368907	41.686369430250195	0	6.568883812565864	1.7358317582336624	8.508571272690729	0.4437229907689807	0.31446996565079616	0	0.3667056726506587	1.9427901545922956	0.16585405227765854	0.8347842941946694	0.33454092692940446	0.397786492657466	0	0	0.3522462395525153	0	0	0	0	0	2.434333795608832	4.0548229212728	0.28340983708953615	0.6132549448895981
Megamonas funiformis	0.2082716064733116	0	1.2229463915872942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13939293928946905	0	0	0	0	0	0	0	0	0	0
